Esperimento,Attacco,Tipo Attacco,Parametro,Punteggio Successo Attacco,IoU Ottimistico,IoU Pessimistico
./robustness_results/SD_Inpainting/VAE_MSE_FT_2_STAGE,jpeg@85,jpeg,85,4.7200,0.4133,0.1880
./robustness_results/SD_Inpainting/VAE_MSE_FT_2_STAGE,jpeg@60,jpeg,60,3.9033,0.4391,0.2135
./robustness_results/SD_Inpainting/VAE_MSE_FT_2_STAGE,jpeg@50,jpeg,50,3.6608,0.4351,0.2112
./robustness_results/SD_Inpainting/VAE_MSE_FT_2_STAGE,crop_center@0.9,crop_center,0.9,5.7192,0.3703,0.1708
./robustness_results/SD_Inpainting/VAE_MSE_FT_2_STAGE,crop_center@0.75,crop_center,0.75,6.4158,0.3346,0.1441
./robustness_results/SD_Inpainting/VAE_MSE_FT_2_STAGE,crop_center@0.5,crop_center,0.5,6.5287,0.2693,0.1028
./robustness_results/SD_Inpainting/VAE_MSE_FT_2_STAGE,crop_random@0.9,crop_random,0.9,5.7417,0.3619,0.1564
./robustness_results/SD_Inpainting/VAE_MSE_FT_2_STAGE,crop_random@0.75,crop_random,0.75,6.3700,0.2837,0.1090
./robustness_results/SD_Inpainting/VAE_MSE_FT_2_STAGE,crop_random@0.5,crop_random,0.5,6.4387,0.2410,0.0761
./robustness_results/SD_Inpainting/VAE_MSE_FT_2_STAGE,blur@0.5,blur,0.5,3.8658,0.4131,0.1846
./robustness_results/SD_Inpainting/VAE_MSE_FT_2_STAGE,blur@1.0,blur,1.0,2.9871,0.4234,0.1933
./robustness_results/SD_Inpainting/VAE_MSE_FT_2_STAGE,blur@2.0,blur,2.0,3.2742,0.3945,0.1672
./robustness_results/SD_Inpainting/VAE_MSE_FT_2_STAGE,blur@4.0,blur,4.0,3.1108,0.3826,0.1632
./robustness_results/SD_Img2Img/VAE_MSE_FT_2_STAGE,clean@None,clean,None,5.5113,0.4829,0.2327
./robustness_results/SD_Img2Img/VAE_MSE_FT_2_STAGE,jpeg@85,jpeg,85,3.5958,0.5859,0.3574
./robustness_results/SD_Img2Img/VAE_MSE_FT_2_STAGE,jpeg@60,jpeg,60,3.2071,0.6214,0.4042
./robustness_results/SD_Img2Img/VAE_MSE_FT_2_STAGE,jpeg@50,jpeg,50,3.2396,0.6407,0.4089
./robustness_results/SD_Img2Img/VAE_MSE_FT_2_STAGE,crop_center@0.9,crop_center,0.9,4.8096,0.4908,0.2337
./robustness_results/SD_Img2Img/VAE_MSE_FT_2_STAGE,crop_center@0.75,crop_center,0.75,5.4629,0.4176,0.1756
./robustness_results/SD_Img2Img/VAE_MSE_FT_2_STAGE,crop_center@0.5,crop_center,0.5,5.9900,0.2933,0.1133
./robustness_results/SD_Img2Img/VAE_MSE_FT_2_STAGE,crop_random@0.9,crop_random,0.9,4.6571,0.4643,0.2163
./robustness_results/SD_Img2Img/VAE_MSE_FT_2_STAGE,crop_random@0.75,crop_random,0.75,5.3792,0.3722,0.1599
./robustness_results/SD_Img2Img/VAE_MSE_FT_2_STAGE,crop_random@0.5,crop_random,0.5,5.9046,0.2836,0.1103
./robustness_results/SD_Img2Img/VAE_MSE_FT_2_STAGE,blur@0.5,blur,0.5,5.1125,0.5335,0.2769
./robustness_results/SD_Img2Img/VAE_MSE_FT_2_STAGE,blur@1.0,blur,1.0,3.5804,0.6140,0.3761
./robustness_results/SD_Img2Img/VAE_MSE_FT_2_STAGE,blur@2.0,blur,2.0,4.3771,0.5541,0.3235
./robustness_results/SD_Img2Img/VAE_MSE_FT_2_STAGE,blur@4.0,blur,4.0,4.9254,0.5384,0.2763
./robustness_results/InstructPix2Pix/VAE_MSE_TARGET_OPT,clean@None,clean,None,4.8500,0.7361,0.5864
./robustness_results/InstructPix2Pix/VAE_MSE_TARGET_OPT,jpeg@85,jpeg,85,4.6467,0.7668,0.6425
./robustness_results/InstructPix2Pix/VAE_MSE_TARGET_OPT,jpeg@60,jpeg,60,3.4267,0.7555,0.5983
./robustness_results/InstructPix2Pix/VAE_MSE_TARGET_OPT,jpeg@50,jpeg,50,3.4200,0.7603,0.5578
./robustness_results/InstructPix2Pix/VAE_MSE_TARGET_OPT,crop_center@0.9,crop_center,0.9,4.7667,0.5770,0.4284
./robustness_results/InstructPix2Pix/VAE_MSE_TARGET_OPT,crop_center@0.75,crop_center,0.75,5.7200,0.4200,0.2949
./robustness_results/InstructPix2Pix/VAE_MSE_TARGET_OPT,crop_center@0.5,crop_center,0.5,6.3900,0.2992,0.1756
./robustness_results/InstructPix2Pix/VAE_MSE_TARGET_OPT,crop_random@0.9,crop_random,0.9,4.4200,0.5417,0.3804
./robustness_results/InstructPix2Pix/VAE_MSE_TARGET_OPT,crop_random@0.75,crop_random,0.75,5.5633,0.3901,0.2644
./robustness_results/InstructPix2Pix/VAE_MSE_TARGET_OPT,crop_random@0.5,crop_random,0.5,5.7833,0.2735,0.1489
./robustness_results/InstructPix2Pix/VAE_MSE_TARGET_OPT,blur@0.5,blur,0.5,4.2600,0.7590,0.6180
./robustness_results/InstructPix2Pix/VAE_MSE_TARGET_OPT,blur@1.0,blur,1.0,2.1600,0.7910,0.6065
./robustness_results/InstructPix2Pix/VAE_MSE_TARGET_OPT,blur@2.0,blur,2.0,2.4200,0.6906,0.4990
./robustness_results/InstructPix2Pix/VAE_MSE_TARGET_OPT,blur@4.0,blur,4.0,2.7700,0.6500,0.4140
./robustness_results/SD_Inpainting/VAE_MSE_TARGET_OPT,clean@None,clean,None,4.7900,0.4000,0.1416
./robustness_results/SD_Inpainting/VAE_MSE_TARGET_OPT,jpeg@85,jpeg,85,4.4767,0.3930,0.1641
./robustness_results/SD_Inpainting/VAE_MSE_TARGET_OPT,jpeg@60,jpeg,60,4.3067,0.4286,0.1684
./robustness_results/SD_Inpainting/VAE_MSE_TARGET_OPT,jpeg@50,jpeg,50,4.5033,0.4273,0.1780
./robustness_results/SD_Inpainting/VAE_MSE_TARGET_OPT,crop_center@0.9,crop_center,0.9,6.2733,0.3999,0.1532
./robustness_results/SD_Inpainting/VAE_MSE_TARGET_OPT,crop_center@0.75,crop_center,0.75,6.4533,0.3518,0.1392
./robustness_results/SD_Inpainting/VAE_MSE_TARGET_OPT,crop_center@0.5,crop_center,0.5,6.4567,0.2809,0.1052
./robustness_results/SD_Inpainting/VAE_MSE_TARGET_OPT,crop_random@0.9,crop_random,0.9,6.4567,0.3487,0.1347
./robustness_results/SD_Inpainting/VAE_MSE_TARGET_OPT,crop_random@0.75,crop_random,0.75,6.7933,0.2937,0.1083
./robustness_results/SD_Inpainting/VAE_MSE_TARGET_OPT,crop_random@0.5,crop_random,0.5,6.1867,0.2489,0.0764
./robustness_results/SD_Inpainting/VAE_MSE_TARGET_OPT,blur@0.5,blur,0.5,3.9600,0.3838,0.1683
./robustness_results/SD_Inpainting/VAE_MSE_TARGET_OPT,blur@1.0,blur,1.0,3.5000,0.4466,0.1665
./robustness_results/SD_Inpainting/VAE_MSE_TARGET_OPT,blur@2.0,blur,2.0,3.6900,0.3912,0.1388
./robustness_results/SD_Inpainting/VAE_MSE_TARGET_OPT,blur@4.0,blur,4.0,2.8067,0.3874,0.1291
./robustness_results/SD_Img2Img/VAE_MSE_TARGET_OPT,clean@None,clean,None,5.4833,0.4343,0.1822
./robustness_results/SD_Img2Img/VAE_MSE_TARGET_OPT,jpeg@85,jpeg,85,3.9200,0.5808,0.3903
./robustness_results/SD_Img2Img/VAE_MSE_TARGET_OPT,jpeg@60,jpeg,60,3.2433,0.6525,0.4439
./robustness_results/SD_Img2Img/VAE_MSE_TARGET_OPT,jpeg@50,jpeg,50,2.8400,0.6424,0.4470
./robustness_results/SD_Img2Img/VAE_MSE_TARGET_OPT,crop_center@0.9,crop_center,0.9,4.9700,0.4551,0.2044
./robustness_results/SD_Img2Img/VAE_MSE_TARGET_OPT,crop_center@0.75,crop_center,0.75,5.4667,0.3637,0.1503
./robustness_results/SD_Img2Img/VAE_MSE_TARGET_OPT,crop_center@0.5,crop_center,0.5,5.4300,0.3033,0.1001
./robustness_results/SD_Img2Img/VAE_MSE_TARGET_OPT,crop_random@0.9,crop_random,0.9,4.6533,0.4320,0.1822
./robustness_results/SD_Img2Img/VAE_MSE_TARGET_OPT,crop_random@0.75,crop_random,0.75,5.6667,0.3832,0.1673
./robustness_results/SD_Img2Img/VAE_MSE_TARGET_OPT,crop_random@0.5,crop_random,0.5,5.9467,0.2745,0.1015
./robustness_results/SD_Img2Img/VAE_MSE_TARGET_OPT,blur@0.5,blur,0.5,5.4967,0.5099,0.2488
./robustness_results/SD_Img2Img/VAE_MSE_TARGET_OPT,blur@1.0,blur,1.0,3.4667,0.6468,0.4227
./robustness_results/SD_Img2Img/VAE_MSE_TARGET_OPT,blur@2.0,blur,2.0,4.0267,0.5735,0.3466
./robustness_results/SD_Img2Img/VAE_MSE_TARGET_OPT,blur@4.0,blur,4.0,5.3600,0.5472,0.2814
